date,amount,currency,vendor,memo
2026-01-26,201.30,USD,GOOGLE*SVCS 9EX4T8,
2026-01-26,929.37,USD,UNITED AIR SAN FRANCISCO CA,INV-54457
2026-01-26,160.97,USD,GUSTO PAYROLL FEE,INV-45657
2026-01-26,419.78,USD,FIGMA.COM,
2026-01-27,1722.20,USD,GOOGLE*SVCS M68X0K,
01/27/2026,12.32,USD,ACCT ANALYSIS FEE,INV-79683
01/28/26,770.34,USD,AMAZON.COM*0GB8P7 AMZN.COM/BILL WA  ,INV-76475
2026-01-28,1494.25,USD,QUILL ACCOUNTING PORTLAND OR,INV-70500
2026-01-28,261.29,USD,MSFT *GITHUB,INV-38071
2026-01-29,140.21,USD,UPS SHIPPING CHICAGO IL,INV-43015
2026-01-29,132.43,USD,Public Storage,INV-90931
2026-01-29,451.73,USD,MICROSOFT*365,
2026-01-29,225.89,USD,GitHub,INV-67894
2026-01-29,1308.02,USD,AIRBNB * HM55314S,INV-70305
2026-01-29,39.50,EUR,Shell,
2026-01-30,697.08,USD,Amazon,
2026-01-30,597.38,USD,Brightline Cleaning,
2026-01-31,47.07,USD,Vercel,
2026-01-31,510.22,GBP,OREILLY  *SAFARI,INV-43097
2026-01-31,89.97,USD,VERIZON *5049,INV-39253
2026-01-31,772.24,USD,Google Cloud,INV-72299
2026-01-31,696.00,USD,Costco,INV-97034
2026-01-31,1529.72,USD,Apple,INV-20632
2026-01-31,90.04,USD,APPLE STORE #3192,INV-46654
2026-01-31,131.58,USD,FEDEX OFFICE #4205,INV-75158
