date,amount,currency,vendor,memo
2026-02-09,67.56,USD,ZOOM VIDEO COMM,INV-71813
2026-02-09,176.28,GBP,STRIPE  MONTHLY FEE,INV-35479
2026-02-10,357.52,USD,VERIZON WRLS 5T4SN7,INV-18301
2026-02-10,2371.79,USD,Google Cloud,INV-21099
2026-02-10,788.06,USD,AMAZON WEB SERV AWS.AM,
10 Feb 2026,13.00,USD,POS DEBIT ACCT ANALYSIS FEE,INV-85162
2026-02-11,25.98,USD,EZPASS REBILL 71ZCY6,INV-68692
2026-02-11,26.11,USD,NOTION.SO,INV-12688
2026-02-11,4026.30,USD,Amazon Web Services,INV-71757
02/11/26,109.39,USD,POS DEBIT Notion Labs Inc,
2026-02-11,221.34,USD,Public Storage,
2026-02-11,60.97,USD,Starbucks,INV-33039
2026-02-12,428.12,USD,Gusto,INV-80062
2026-02-12,104.59,USD,Chipotle,
12 Feb 2026,140.85,USD,POS DEBIT CHIPOTLE ONLINE 67A20U,
2026-02-12,99.95,USD,E-ZPass,INV-73901
02/12/2026,94.84,USD,Slack.com,
2026-02-13,15.67,USD,ACCT ANALYSIS FEE,INV-15703
2026-02-13,338.25,USD,Dell Technologies,
2026-02-13,72.32,USD,City Water Dept,INV-35881
2026-02-13,354.23,USD,MICROSOFT #GWHP16J,INV-95349
2026-02-14,211.34,USD,ADOBE CREATIVE CLOUD,INV-35255
2026-02-14,424.42,USD,CLOUDFLARE *G6J414  ,INV-69921
02/14/26,36.50,USD,MONTHLY SERVICE CHARGE,INV-92797
2026-02-14,32.86,USD,SHELL 7169,INV-42251
14 Feb 2026,2558.47,USD,Amazon Web Services,
2026-02-15,324.11,USD,COMCAST BUSINESS NEW YORK NY,INV-65236
2026-02-15,43.74,USD,ACCT ANALYSIS FEE,INV-72632
02/15/2026,681.89,USD,HISCOX INSURANCE CO,
2026/02/16,384.09,USD,VERCEL INC P58A44,
2026-02-16,90.65,CAD,Notion Labs Inc,
2026-02-16,1838.73,USD,APPLE STORE SEATTLE WA,INV-39587
2026-02-16,698.27,USD,HISCOX INSURANCE CO,INV-70854
2026/02/16,86.20,USD,E-ZPass,INV-81769
2026-02-16,147.52,USD,VZWRLSS*APOCC VISB,
02/17/2026,2070.25,USD,APL*ITUNES.COM/BILL,INV-72291
2026-02-17,123.64,USD,SHELL SERVICE STATION AUSTIN TX,
2026-02-17,53.68,USD,SLACK TECHNOLOGIES,INV-91691
2026-02-18,1191.55,USD,FB ADS DENVER CO,INV-54962
2026-02-18,242.96,USD,AMTRAK F2YR0Q,INV-43686
2026-02-18,326.52,USD,MSFT *GITHUB,INV-98954
2026-02-19,26.34,USD,BLUE BOTTLE #433,INV-22108
2026-02-19,73.11,USD,E-ZPASS NY E9N7DP,
2026-02-20,203.82,USD,Figma,INV-21835
2026-02-21,219.70,USD,Public Storage,
2026-02-21,473.38,USD,O'Reilly Media,INV-85304
2026-02-21,213.38,USD,City Water Dept,INV-69145
2026-02-21,225.81,USD,VERCEL INC U234TA,INV-41166
2026-02-21,1312.63,USD,WeWork,INV-81663
2026-02-22,3314.21,USD,POS DEBIT AMAZON WEB SERVICES 25A6MD,
2026-02-22,303.66,USD,MSFT *GITHUB,INV-86649
2026-02-23,115.23,USD,Figma,
2026-02-23,17.53,USD,First Northwest Bank,INV-94983
2026-02-23,76.96,USD,ZOOM VIDEO COMM,INV-40274
24 Feb 2026,1163.96,USD,google ads SEATTLE WA,
2026-02-25,420.84,USD,FIGMA INC,INV-38154
02/25/26,172.18,USD,CLOUDFLARE INC BOSTON MA,
2026-02-25,328.92,USD,GUSTO PAYROLL FEE,INV-77787
2026-02-25,418.06,USD,BRIGHTLINE CLEANING,
02/25/26,276.60,USD,Stripe Payments Fee,INV-42620
2026/02/25,1314.81,USD,GOOGLE *ADS #4143,
2026-02-26,270.84,USD,GitHub,INV-75860
2026-02-26,281.38,USD,GITHUB *TEAM,INV-93809
2026-02-26,228.35,USD,GUSTO PAYROLL FEE,
2026/02/27,169.43,USD,Notion Labs Inc  ,INV-59362
2026-02-27,288.36,USD,Gusto,INV-49307
27 Feb 2026,1012.27,USD,AWS EMEA 2645UU,INV-19485
28 Feb 2026,212.72,USD,Cloudflare,INV-38951
2026-02-28,78.19,USD,EZPASS AUSTIN TX,INV-56190
2026-02-28,233.19,EUR,City Water Dept,INV-99759
2026-02-28,44.91,USD,DOORDASH*U539BK,INV-85496
2026-02-28,214.14,USD,ZOOM.US B15VTV,INV-67323
2026-02-28,2828.02,USD,Google Cloud,INV-58540
